	mean (Lav-Dissatisfaction body)	std (Lav-Dissatisfaction body)	mean (Lav-Negative appraisal body)	std (Lav-Negative appraisal body)	mean (Lav-Unfamiliarity with body)	std (Lav-Unfamiliarity with body)	mean (MHCSF-Emotional Well-being)	std (MHCSF-Emotional Well-being)	mean (MHCSF-Psychological Well-being)	std (MHCSF-Psychological Well-being)	mean (MHCSF-Social Well-being)	std (MHCSF-Social Well-being)	mean (Age)	std (Age)	mean (SQ48-Agoraphobia)	std (SQ48-Agoraphobia)	mean (SQ48-Anxiety)	std (SQ48-Anxiety)	mean (SQ48-Cognitive Complaints)	std (SQ48-Cognitive Complaints)	mean (SQ48-Depression)	std (SQ48-Depression)	mean (SQ48-Hostility)	std (SQ48-Hostility)	mean (SQ48-Social phobia)	std (SQ48-Social phobia)	mean (SQ48-Somatic Complaints)	std (SQ48-Somatic Complaints)	mean (SQ48-Vitality)	std (SQ48-Vitality)	mean (SQ48-Work related complaints)	std (SQ48-Work related complaints)
LogLASSO-BED	0.04449325062427841	1.1167494525647296e-05	0.1778592532021784	3.594705224467861e-05	0.06806752444177652	2.331310866830144e-05	0.009150230068561676	1.108956378443069e-05	0.020629521186341634	1.5969203413407906e-05	0.015824662515126306	1.9425118152338087e-05	0.17407324805584107	6.587929619535946e-06	0.0	0.0	0.0	0.0	0.04149442962328438	1.0813757540891859e-05	0.08519722343614221	3.482755454966982e-05	0.07807230630488807	4.815383510317805e-06	0.0	0.0	0.28513835054158126	2.7628127054472687e-05	0.0	0.0	0.0	0.0
GNB-BN	0.04747841412692224	0.0	0.04552402226064938	0.0	0.04092101268613124	0.0	0.04920705396161476	0.0	0.05490117648049299	0.0	0.0807330840623491	0.0	0.06425694231397167	0.0	0.06030104184645135	0.0	0.079197150952147	0.0	0.08722196272180312	0.0	0.06731007670052719	0.0	0.06626951085580665	0.0	0.049726824587171044	0.0	0.049211726279941574	0.0	0.09684258283513632	0.0	0.06089741732888437	0.0
LGMLVQ2-BN	0.15931915696562896	0.03068071295663544	0.04349797717094195	0.01744783675047485	0.03628463965453872	0.01163440777799223	0.20498907441103062	0.022159461230541556	0.11796046565479726	0.013665502225441804	0.01401090764103192	0.0033239532154621886	0.033531893843958244	0.00861609700746852	0.08203507600281756	0.018067394942079186	0.030101232892459508	0.0031736987043043327	0.02012012075535651	0.004650806372778005	0.06351233553140213	0.004775844854947527	0.01738890723446903	0.01164242328022029	0.03873566596250629	0.007780269124293537	0.06887235061396793	0.010456477503822201	0.03173601251410273	0.004798719694193518	0.037904183150990645	0.015202314162704482
LogLASSO-BN	0.0	0.0	0.026808983806566978	4.0435390590924995e-05	0.1363185869428222	2.2181100951398875e-05	0.1385981659067263	9.477754862386361e-06	0.11393794853662871	1.058725000395938e-05	0.05558824857609755	1.435076995668674e-05	0.05012788990720862	4.5376051396072715e-06	0.0	0.0	0.03087268110396062	4.560731995109932e-06	0.0	0.0	0.032164988969880515	2.9970053220221852e-05	0.024900563344014574	4.2586621403373705e-06	0.10052597453295238	2.8049790267112063e-05	0.09371864434969142	2.5516070367573704e-05	0.0826163546510475	2.6361864695303008e-05	0.11382096937240263	9.956445018661403e-06
GNB-OED	0.09041448888451815	0.0	0.09009838587286842	0.0	0.04597399281846583	0.0	0.06856740790705008	0.0	0.0542106453657142	6.938893903907228e-18	0.0713550318876188	0.0	0.0745839260615051	0.0	0.05509110290663395	0.0	0.06027019130461516	0.0	0.06193882115967274	6.938893903907228e-18	0.06288548635422835	0.0	0.06074152974342399	0.0	0.05660873079879312	6.938893903907228e-18	0.05446772319446856	0.0	0.03469705993001635	0.0	0.05809547581040725	0.0
LGMLVQ2-OED	0.049985921356645965	0.00334269513738275	0.021074982590678804	0.0025296122895363156	0.05076762680045197	0.006635128140945851	0.043506678567732	0.010295051125633408	0.15334883015291229	0.015415109336458177	0.06277420093774001	0.010979722434047108	0.027569057215067232	0.006800069382844738	0.07308209556407161	0.009803080589034566	0.06139623441445728	0.020004664705954286	0.03270389720550129	0.008424764098295397	0.04780996421503023	0.01272065331891732	0.03489372659765259	0.007528929126338333	0.06490147797218601	0.010516820250099895	0.16947759556586955	0.03332954501823064	0.08917032362027014	0.014491884578063203	0.017537387223733065	0.002899413670469627
LogLASSO-OED	0.031292589364220594	1.789219554324144e-05	0.052072510658481064	7.439768920648232e-05	0.03219492812889021	3.784422471437483e-05	0.0	0.0	0.0	0.0	0.17271807014851137	1.711195903135364e-05	0.0	0.0	0.0	0.0	0.1406452444822942	4.1356831925227426e-05	0.0	0.0	0.13831651860722244	4.848145014748903e-05	0.23755586613493512	2.423156982701599e-05	0.09642897866886371	5.597506815341278e-05	0.0	0.0	0.04328090768681807	5.39498839795681e-05	0.05549438611976325	1.0980452677051705e-05
GNB-Others	0.08038118592369958	0.0	0.0696802773089005	0.0	0.07449091832736927	0.0	0.06111517080075134	6.938893903907228e-18	0.06597246580537376	0.0	0.050259948100795905	0.0	0.039059241237078456	0.0	0.07831372124899358	0.0	0.05703051555170428	6.938893903907228e-18	0.05734545897500385	6.938893903907228e-18	0.05217226405645149	0.0	0.05283709956498252	0.0	0.07554361387623568	0.0	0.06906105807165054	0.0	0.050671303000144864	0.0	0.06606575815086442	0.0
LGMLVQ2-Others	0.088557095001142	0.01300374688862044	0.13686658068800525	0.01456836001537155	0.06880884928044174	0.019523487810091656	0.04934475822857874	0.012220396951927615	0.061995240339895064	0.012734673792961625	0.07431440361708645	0.01824633366877996	0.0506797213246978	0.0123053888229574	0.009424633549174843	0.0031198765351427246	0.07594413137901092	0.00459481981488155	0.009102072159689868	0.0014042536594965405	0.20179351610286655	0.019186532062483226	0.032022748157735335	0.00236956128767188	0.047173603104219516	0.013546022942506935	0.005730488116067486	0.0017925463920145312	0.07877355925242067	0.01640797532999396	0.009468599698967807	0.0014185691609675095
LogLASSO-Others	0.12705009487917085	4.247147626156607e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.00589972884067359	4.244308174137531e-05	0.10128073009395941	3.0201793495182898e-05	0.21103906639455522	2.2029071335482875e-05	0.100250364972631	1.1947063476199634e-05	0.006937449625547041	1.7693354234838736e-05	0.02670786010001963	2.18535988499955e-05	0.0	0.0	0.0	0.0	0.1894263479722341	5.457823479248769e-05	0.1453709907842015	3.28183898487595e-05	0.0860373663370076	5.5937699095777236e-05	0.0	0.0
